analysis_set,threshold,n,rho,ci_low,ci_high,permutation_p,inversion_rate,top5_overlap
deep_research_humaneval_ge_90,90,34,-0.06597286500621606,-0.3527084283730865,0.2410197519222635,0.714928507149285,0.5009208103130756,0.0
deep_research_humaneval_ge_91,91,28,-0.15793832218452986,-0.4545348185289993,0.17557915812920954,0.4213578642135786,0.5327868852459017,0.0
deep_research_humaneval_ge_92,92,24,0.008278886750339552,-0.35810998529124205,0.3879901109621486,0.9693030696930307,0.4756554307116105,0.0
deep_research_humaneval_ge_93,93,15,-0.31267464765797576,-0.6900381044041711,0.30791791423314085,0.2576742325767423,0.5757575757575758,0.1111111111111111
deep_research_humaneval_ge_94,94,12,-0.3115283349897989,-0.7338319404129166,0.4303827215844233,0.32066793320667936,0.5833333333333334,0.25
deep_research_humaneval_ge_95,95,10,0.06791288043619165,-0.6561546843749901,0.8690481892534816,0.8549145085491451,0.45,0.42857142857142855
deep_research_humaneval_ge_96,96,5,0.22360679774997896,-1.0,1.0,0.7994200579942006,0.42857142857142855,1.0
