analysis_set,threshold,n,rho,ci_low,ci_high,inversion_rate,top5_overlap
all_lcb_v6_candidates,0,30,0.6844681967408902,0.3606157578046576,0.8819584171696848,0.23094688221709006,0.42857142857142855
humaneval_ge_70,70,26,0.5239398391220924,0.12330414057834135,0.8016643550624133,0.30340557275541796,0.42857142857142855
humaneval_ge_80,80,22,0.31807914680953303,-0.1547212741751991,0.7003692415382036,0.38427947598253276,0.42857142857142855
humaneval_ge_85,85,18,0.2179753229241626,-0.3503528321861505,0.662493569532796,0.423841059602649,0.42857142857142855
humaneval_ge_88,88,16,0.2812963286307304,-0.3405535059786237,0.7397466635489021,0.3983050847457627,0.42857142857142855
humaneval_ge_90,90,13,0.14325123227581624,-0.5211267605633803,0.6573433002529432,0.4605263157894737,0.42857142857142855
humaneval_ge_92,92,11,0.24657791308770047,-0.4826102991082711,0.7828362951252109,0.41509433962264153,0.42857142857142855
humaneval_ge_94,94,6,0.08827348295047495,-0.8660254037844387,0.9486832980505138,0.46153846153846156,0.6666666666666666
humaneval_ge_95,95,4,0.6324555320336759,nan,nan,0.2,nan
humaneval_ge_96,96,4,0.6324555320336759,nan,nan,0.2,nan
humaneval_ge_97,97,3,0.0,nan,nan,0.5,nan
frontier_rule_he_ge_90_no_base_tiny,90,13,0.14325123227581624,-0.5211267605633803,0.6573433002529432,0.4605263157894737,0.42857142857142855
