dataset,pair,band,n,rho,ci_low,ci_high,inversion_rate,top5_overlap
Canonical,HumanEval -> LiveCodeBench,all high-band rows,15,-0.7437192221091401,-0.8702566903421601,-0.45990822652619723,0.7978723404255319,0.0
Canonical,HumanEval -> LiveCodeBench,HumanEval >= 94,12,-0.6130962246388347,-0.8576090194104079,-0.17181411259181908,0.7543859649122807,0.1111111111111111
LCB-v6 candidate,HumanEval -> LiveCodeBench-v6,HumanEval >= 90,30,0.10244446013579932,-0.26373134149189914,0.4644550814240429,0.4460431654676259,0.1111111111111111
Canonical,MMLU -> GPQA Diamond,all rows,15,0.7345847437289975,0.3055864597968499,0.9127351778656129,0.23076923076923078,0.6666666666666666
Canonical,MMLU -> GPQA Diamond,MMLU >= 90,8,0.7305520197670881,0.10256410256410256,1.0,0.2222222222222222,0.6666666666666666
Canonical,GSM8K -> MATH/AIME (z),all rows,15,0.22470913212714752,-0.4959306929404066,0.6812148025466499,0.43137254901960786,0.42857142857142855
Canonical,GSM8K -> MATH/AIME (z),GSM8K >= 96,9,0.6025157343041205,-0.2019113520089469,0.9473684210526315,0.2857142857142857,0.6666666666666666
