analysis_pair,pair_label,n_models,spearman_rho,linear_r2,linear_slope,linear_intercept,source_std,transfer_std,median_transfer_gap,mean_abs_residual,max_abs_residual
code,HumanEval -> LiveCodeBench,15,-0.74371922210914,0.3978249914399964,-2.612705813784062,326.20504444120667,1.8077873874145816,7.488448246656789,17.599999999999994,4.185060372043335,16.17258050415264
knowledge,MMLU -> GPQA Diamond,15,0.7345847437289974,0.4860397044865613,6.520065552801991,-511.16537559623805,1.890502578681129,17.68045194423437,11.799999999999997,9.534879597800687,27.79960694966283
math_aime2024,GSM8K -> AIME 2024,5,0.39999999999999997,0.522259443804898,1.581717451523504,-59.5844875346221,1.0406728592598158,2.277718156401268,3.700000000000003,1.0306925207756734,2.5767313019389917
math_math500,GSM8K -> MATH-500,10,0.14939024390243902,0.02994073542243214,1.2490730441231246,-29.235437523176305,1.5483324363111861,11.176885871197658,-0.15000000000000568,9.26014089729329,20.550667408231348
vision_imagenetv2,ImageNet -> ImageNet-V2,9,0.9833333333333333,0.8403522241429157,1.2464119425523612,-26.6790855293514,13.121589503985831,17.84092517531283,8.700000000000003,4.629116021386358,16.53170744102457
vision_objectnet,ImageNet -> ObjectNet,8,0.7857142857142858,0.615319148990757,1.0190240955291778,-32.91279692941928,14.17694305150847,18.416912840414614,35.35000000000001,8.98006370388799,20.1816042362641
