analysis_pair,pair_label,n_models,spearman_rho,kendall_tau_b,pairwise_inversion_rate,pairwise_concordant,pairwise_discordant,source_ties,transfer_ties,top3_jaccard,top5_jaccard,source_std,transfer_std,source_range,transfer_range,spread_ratio_source_over_transfer,estimated_fraction
code,HumanEval -> LiveCodeBench,15,-0.74371922210914,-0.5633905456098736,0.7978723404255319,19,75,10,1,0.0,0.0,1.8077873874145816,7.488448246656789,5.599999999999994,28.4,0.24141014638402108,0.5333333333333333
knowledge,MMLU -> GPQA Diamond,15,0.7345847437289974,0.5358913016456669,0.23076923076923078,80,24,1,0,1.0,0.6666666666666666,1.890502578681129,17.68045194423437,5.799999999999997,53.0,0.10692614558971301,0.5333333333333333
math_aime2024,GSM8K -> AIME 2024,5,0.39999999999999997,0.4,0.3,7,3,0,0,0.5,1.0,1.0406728592598158,2.277718156401268,2.700000000000003,5.799999999999997,0.4568927267559961,0.6
math_math500,GSM8K -> MATH-500,10,0.14939024390243902,0.11363636363636363,0.4418604651162791,24,19,1,1,0.5,0.25,1.5483324363111861,11.176885871197658,4.400000000000006,29.400000000000006,0.13852986011972893,0.6
math_zscore,GSM8K -> MATH-500/AIME (z),15,0.22470913212714755,0.13526727891045448,0.43137254901960786,58,44,2,1,1.0,0.42857142857142855,1.372935679830771,1.0350983390135313,4.400000000000006,3.5740585992248146,1.326381878980895,0.6
vision_imagenetv2,ImageNet -> ImageNet-V2,9,0.9833333333333333,0.9444444444444444,0.027777777777777776,35,1,0,0,1.0,1.0,13.121589503985831,17.84092517531283,42.7,52.8,0.7354769651824266,0.8888888888888888
vision_objectnet,ImageNet -> ObjectNet,8,0.7857142857142858,0.6428571428571429,0.17857142857142858,23,5,0,0,0.5,1.0,14.17694305150847,18.416912840414614,48.7,58.0,0.7697784734256965,0.125
