benchmark,year,top10_std,top10_mean,ceiling_gap,n_models,top_k
GSM8K,2024,0.282842712474613,96.6,3.4000000000000057,2,2
GSM8K,2025,0.45092497528228537,96.36666666666667,3.6333333333333258,3,3
GSM8K,2026,1.2909944487358056,97.1,2.9000000000000057,15,10
HumanEval,2026,1.049867716534908,96.4,3.5999999999999943,15,10
MMLU,2024,1.725398504693914,88.88,11.120000000000005,5,5
MMLU,2025,1.544991909363928,88.85000000000001,11.149999999999991,6,6
MMLU,2026,1.4206805880750715,91.15,8.849999999999994,15,10
