analysis_pair,benchmark_pair,rho_current,rho_ci95_width,estimated_fraction,r2_transfer_from_source,linear_slope,source_top10_spread,pairwise_inversion_rate,top5_jaccard,exposure_proxy_log1p,source_age_years,positive_signal_z,negative_pressure_z,health_score,health_rank
knowledge,MMLU -> GPQA Diamond,0.7345847437289974,0.6071487180687629,0.5333333333333333,0.4860397044865613,6.520065552801991,1.4206805880750715,0.23076923076923078,0.6666666666666666,6.928537818164665,5.666666666666667,1.0524308592718856,0.11451947773635336,0.9379113815355322,1
math_zscore,GSM8K -> MATH-500/AIME (z),0.22470913212714755,1.1771454954870566,0.6,0.08808892365993104,0.22376495573486657,1.2909944487358056,0.43137254901960786,0.42857142857142855,6.716594773520978,4.583333333333333,-0.16527902444046014,0.12170995729159084,-0.286988981732051,2
code,HumanEval -> LiveCodeBench,-0.74371922210914,0.4103484638159629,0.5333333333333333,0.3978249914399964,-2.612705813784062,1.049867716534908,0.7978723404255319,0.0,6.769641976852503,4.833333333333333,-0.8871518348314253,-0.23622943502794508,-0.6509223998034803,3
